помещи пом+ещи
ком ком
ста ста
рикам рик+ам
дурно дурно
вкусия вк+усия
таба таба
керке к+ерке
дедуш д+едуш
ку ку
ба б+а
ба бА
иль +иль
иль иль
почувс поч+увс
твовала твовала
первоклас первокл+ас
сными сными
по по
томственный т+омственный
ди ди
пломатов плом+атов
стари стари
кам к+ам
бриллиан брилли+ан
тов тов
в в
полне полн+е
со со
ставляют ставл+яют
с с
тиля т+иля
дурнов дурнов
кусия к+усия
ко ко
торых т+орых
в в
ремя р+емя
устроиваться устр+оиваться
клифоза кл+ифоза
ничтожайших ничтож+айших
оверчас оверч+ас
сотёе с+отёе
иго иг+о
поэта п+о+эт+а
богатари богатар+и
пэ п+э
по-ми-дор-чики по-м+и-д+ор-ч+ики
огур-чи-ки ог+ур-ч+и-к+и
аиу +а+и+у
