же-ж ж+е-ж
к к
с с
со са
о а
о А
о +о
во ва
во в+о
об аБ
не ни
не н+и
до да
по па
от ат
под паТ
под паД
про пра
де дэ
де де
что шт+о
и +и
и и
а +а
а А
у +у
у у
же же
бы бы
при при
из +иЗ
из +иС
в В
в Ф
б Б
б П
то т+о
то та
же жи
баз б+аЗ
баз б+аС
бог б+оГ
бог б+оХ
аж +аЖ
аж +аШ
пре при
эт +эт
эт эт
это-то +это-то
этого-то +этово-то
его-с ег+о-с
из-за из-за
из-за +из-за
из-под иС-поД
из-под иС-поТ
изо +изо
изо из+о
ип ип
ип +ип
ип айп+и
ко ка
ли ли
над н+аД
над н+аТ
эй +эй
ту т+у
чтото шт+ото
чьи-то чь+и-то
чьих-то чь+их-то
пэ п+э
ты-то т+ы-то
без беЗ
без беС
без б+еЗ
без б+еС
чьей-то чь+ей-то
чьей-то чи+ей-то
ж ж

